CCD_KEY,BAT_CODE,BAT_DESC,ISS_CODE,ISS_DESC,Session Categoy,FQPM,MedicalMember,Specialism Count,Panel requirement code,FTA Respondent,Notes
022EX,22,CHILD SUPPORT ASSESSMENTS,EX,EX LEGISLATION,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
022GC,22,CHILD SUPPORT ASSESSMENTS,GC,GOOD CAUSE,1,,,,84,Tribunal Judge,
022GC,22,CHILD SUPPORT ASSESSMENTS,GC,GOOD CAUSE,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
022LE,22,CHILD SUPPORT ASSESSMENTS,LE,LATE (EXTENDING BACK),1,,,,84,Tribunal Judge,
022LE,22,CHILD SUPPORT ASSESSMENTS,LE,LATE (EXTENDING BACK),2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
022OC,22,CHILD SUPPORT ASSESSMENTS,OC,OVERPAYMENT - CAPITAL,1,,,,84,Tribunal Judge,
022OC,22,CHILD SUPPORT ASSESSMENTS,OC,OVERPAYMENT - CAPITAL,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
022ON,22,CHILD SUPPORT ASSESSMENTS,ON,ONE PROJECT,1,,,,84,Tribunal Judge,
022ON,22,CHILD SUPPORT ASSESSMENTS,ON,ONE PROJECT,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
022OS,22,CHILD SUPPORT ASSESSMENTS,OS,OVERPAYMENT - STRAIGHTFORWARD,1,,,,84,Tribunal Judge,
022OS,22,CHILD SUPPORT ASSESSMENTS,OS,OVERPAYMENT - STRAIGHTFORWARD,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
022OX,22,CHILD SUPPORT ASSESSMENTS,OX,OVERPAYMENT - COMPLEX,1,,,,84,Tribunal Judge,
022OX,22,CHILD SUPPORT ASSESSMENTS,OX,OVERPAYMENT - COMPLEX,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
022PC,22,CHILD SUPPORT ASSESSMENTS,PC,PROPERTY/CAPITAL SETTLEMENT,1,,,,84,Tribunal Judge,
022PC,22,CHILD SUPPORT ASSESSMENTS,PC,PROPERTY/CAPITAL SETTLEMENT,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
022RA,22,CHILD SUPPORT ASSESSMENTS,RA,RATE OF ASSESSMENT/PAYABILITY ISSUES,1,,,,84,Tribunal Judge,
022RA,22,CHILD SUPPORT ASSESSMENTS,RA,RATE OF ASSESSMENT/PAYABILITY ISSUES,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
022RB,22,CHILD SUPPORT ASSESSMENTS,RB,REDUCED BENEFIT DIRECTION,1,,,,84,Tribunal Judge,
022RB,22,CHILD SUPPORT ASSESSMENTS,RB,REDUCED BENEFIT DIRECTION,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
022RC,22,CHILD SUPPORT ASSESSMENTS,RC,RATE OF ASSESSMENT/PAYABILITY ISSUES - COMPLEX,1,,,,84,Tribunal Judge,
022RC,22,CHILD SUPPORT ASSESSMENTS,RC,RATE OF ASSESSMENT/PAYABILITY ISSUES - COMPLEX,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
022SS,22,CHILD SUPPORT ASSESSMENTS,SS,SELF EMPLOYED - STRAIGHTFORWARD,1,,,,84,Tribunal Judge,
022SS,22,CHILD SUPPORT ASSESSMENTS,SS,SELF EMPLOYED - STRAIGHTFORWARD,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
022SX,22,CHILD SUPPORT ASSESSMENTS,SX,SELF EMPLOYED - COMPLEX,1,,,,84,Tribunal Judge,
022SX,22,CHILD SUPPORT ASSESSMENTS,SX,SELF EMPLOYED - COMPLEX,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
023AA,23,CHILD SUPPORT REFORMS,AA,INVALID,N/A,,,,,,
023CA,23,CHILD SUPPORT REFORMS,CA,CHILD SUPPORT REFORM CONVERSION APPEALS,1,,,,84,Tribunal Judge,
023CA,23,CHILD SUPPORT REFORMS,CA,CHILD SUPPORT REFORM CONVERSION APPEALS,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
023CC,23,CHILD SUPPORT REFORMS,CC,CONDITIONS OF ENTITLEMENT - COMPLEX,1,,,,84,Tribunal Judge,
023CC,23,CHILD SUPPORT REFORMS,CC,CONDITIONS OF ENTITLEMENT - COMPLEX,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
023CE,23,CHILD SUPPORT REFORMS,CE,CONDITIONS OF ENTITLEMENT,1,,,,84,Tribunal Judge,
023CE,23,CHILD SUPPORT REFORMS,CE,CONDITIONS OF ENTITLEMENT,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
023CP,23,CHILD SUPPORT REFORMS,CP,CIVIL PENALTIES,1,,,,84,Tribunal Judge,
023CP,23,CHILD SUPPORT REFORMS,CP,CIVIL PENALTIES,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
023DD,23,CHILD SUPPORT REFORMS,DD,APPEAL DIRECTLY LODGED,1,,,,84,Tribunal Judge,
023DD,23,CHILD SUPPORT REFORMS,DD,APPEAL DIRECTLY LODGED,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
023EC,23,CHILD SUPPORT REFORMS,EC,ECHR,1,,,,84,Tribunal Judge,
023EC,23,CHILD SUPPORT REFORMS,EC,ECHR,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
023EX,23,CHILD SUPPORT REFORMS,EX,EX LEGISLATION,1,,,,84,Tribunal Judge,
023EX,23,CHILD SUPPORT REFORMS,EX,EX LEGISLATION,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
023GC,23,CHILD SUPPORT REFORMS,GC,GOOD CAUSE,1,,,,84,Tribunal Judge,
023GC,23,CHILD SUPPORT REFORMS,GC,GOOD CAUSE,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
023LE,23,CHILD SUPPORT REFORMS,LE,LATE (EXTENDING BACK),1,,,,84,Tribunal Judge,
023LE,23,CHILD SUPPORT REFORMS,LE,LATE (EXTENDING BACK),2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
023OC,23,CHILD SUPPORT REFORMS,OC,OVERPAYMENT - CAPITAL,1,,,,84,Tribunal Judge,
023OC,23,CHILD SUPPORT REFORMS,OC,OVERPAYMENT - CAPITAL,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
023ON,23,CHILD SUPPORT REFORMS,ON,ONE PROJECT,1,,,,84,Tribunal Judge,
023ON,23,CHILD SUPPORT REFORMS,ON,ONE PROJECT,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
023OS,23,CHILD SUPPORT REFORMS,OS,OVERPAYMENT - STRAIGHTFORWARD,1,,,,84,Tribunal Judge,
023OS,23,CHILD SUPPORT REFORMS,OS,OVERPAYMENT - STRAIGHTFORWARD,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
023OX,23,CHILD SUPPORT REFORMS,OX,OVERPAYMENT - COMPLEX,1,,,,84,Tribunal Judge,
023OX,23,CHILD SUPPORT REFORMS,OX,OVERPAYMENT - COMPLEX,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
023PC,23,CHILD SUPPORT REFORMS,PC,PROPERTY/CAPITAL SETTLEMENT,1,,,,84,Tribunal Judge,
023PC,23,CHILD SUPPORT REFORMS,PC,PROPERTY/CAPITAL SETTLEMENT,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
023RA,23,CHILD SUPPORT REFORMS,RA,RATE OF ASSESSMENT/PAYABILITY ISSUES,1,,,,84,Tribunal Judge,
023RA,23,CHILD SUPPORT REFORMS,RA,RATE OF ASSESSMENT/PAYABILITY ISSUES,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
023RB,23,CHILD SUPPORT REFORMS,RB,REDUCED BENEFIT DIRECTION,1,,,,84,Tribunal Judge,
023RB,23,CHILD SUPPORT REFORMS,RB,REDUCED BENEFIT DIRECTION,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
023RC,23,CHILD SUPPORT REFORMS,RC,RATE OF ASSESSMENT/PAYABILITY ISSUES - COMPLEX,1,,,,84,Tribunal Judge,
023RC,23,CHILD SUPPORT REFORMS,RC,RATE OF ASSESSMENT/PAYABILITY ISSUES - COMPLEX,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
023SS,23,CHILD SUPPORT REFORMS,SS,SELF EMPLOYED - STRAIGHTFORWARD,1,,,,84,Tribunal Judge,
023SS,23,CHILD SUPPORT REFORMS,SS,SELF EMPLOYED - STRAIGHTFORWARD,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
023SX,23,CHILD SUPPORT REFORMS,SX,SELF EMPLOYED - COMPLEX,1,,,,84,Tribunal Judge,
023SX,23,CHILD SUPPORT REFORMS,SX,SELF EMPLOYED - COMPLEX,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
024AA,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,AA,INVALID,N/A,,,,,,
024CA,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,CA,CHILD SUPPORT REFORM CONVERSION APPEALS,1,,,,84,Tribunal Judge,
024CA,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,CA,CHILD SUPPORT REFORM CONVERSION APPEALS,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
024CC,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,CC,CONDITIONS OF ENTITLEMENT - COMPLEX,1,,,,84,Tribunal Judge,
024CC,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,CC,CONDITIONS OF ENTITLEMENT - COMPLEX,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
024CE,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,CE,CONDITIONS OF ENTITLEMENT,1,,,,84,Tribunal Judge,
024CE,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,CE,CONDITIONS OF ENTITLEMENT,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
024CP,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,CP,CIVIL PENALTIES,1,,,,84,Tribunal Judge,
024CP,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,CP,CIVIL PENALTIES,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
024DD,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,DD,APPEAL DIRECTLY LODGED,1,,,,84,Tribunal Judge,
024DD,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,DD,APPEAL DIRECTLY LODGED,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
024EC,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,EC,ECHR,1,,,,84,Tribunal Judge,
024EC,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,EC,ECHR,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
024EX,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,EX,EX LEGISLATION,1,,,,84,Tribunal Judge,
024EX,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,EX,EX LEGISLATION,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
024GC,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,GC,GOOD CAUSE,1,,,,84,Tribunal Judge,
024GC,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,GC,GOOD CAUSE,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
024LE,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,LE,LATE (EXTENDING BACK),1,,,,84,Tribunal Judge,
024LE,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,LE,LATE (EXTENDING BACK),2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
024OC,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,OC,OVERPAYMENT - CAPITAL,1,,,,84,Tribunal Judge,
024OC,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,OC,OVERPAYMENT - CAPITAL,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
024ON,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,ON,ONE PROJECT,1,,,,84,Tribunal Judge,
024ON,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,ON,ONE PROJECT,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
024OS,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,OS,OVERPAYMENT - STRAIGHTFORWARD,1,,,,84,Tribunal Judge,
024OS,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,OS,OVERPAYMENT - STRAIGHTFORWARD,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
024OX,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,OX,OVERPAYMENT - COMPLEX,1,,,,84,Tribunal Judge,
024OX,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,OX,OVERPAYMENT - COMPLEX,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
024PC,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,PC,PROPERTY/CAPITAL SETTLEMENT,1,,,,84,Tribunal Judge,
024PC,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,PC,PROPERTY/CAPITAL SETTLEMENT,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
024RA,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,RA,RATE OF ASSESSMENT/PAYABILITY ISSUES,1,,,,84,Tribunal Judge,
024RA,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,RA,RATE OF ASSESSMENT/PAYABILITY ISSUES,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
024RB,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,RB,REDUCED BENEFIT DIRECTION,1,,,,84,Tribunal Judge,
024RB,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,RB,REDUCED BENEFIT DIRECTION,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
024RC,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,RC,RATE OF ASSESSMENT/PAYABILITY ISSUES - COMPLEX,1,,,,84,Tribunal Judge,
024RC,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,RC,RATE OF ASSESSMENT/PAYABILITY ISSUES - COMPLEX,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
024SS,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,SS,SELF EMPLOYED - STRAIGHTFORWARD,1,,,,84,Tribunal Judge,
024SS,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,SS,SELF EMPLOYED - STRAIGHTFORWARD,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
024SX,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,SX,SELF EMPLOYED - COMPLEX,1,,,,84,Tribunal Judge,
024SX,24,CHILD SUPPORT REFORM  VARIATION REFERRALS,SX,SELF EMPLOYED - COMPLEX,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
025AA,25,CHILD SUPPORT DEPARTURES,AA,INVALID,N/A,,,,,,
025CA,25,CHILD SUPPORT DEPARTURES,CA,CHILD SUPPORT REFORM CONVERSION APPEALS,1,,,,84,Tribunal Judge,
025CA,25,CHILD SUPPORT DEPARTURES,CA,CHILD SUPPORT REFORM CONVERSION APPEALS,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
025CC,25,CHILD SUPPORT DEPARTURES,CC,CONDITIONS OF ENTITLEMENT - COMPLEX,1,,,,84,Tribunal Judge,
025CC,25,CHILD SUPPORT DEPARTURES,CC,CONDITIONS OF ENTITLEMENT - COMPLEX,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
025CE,25,CHILD SUPPORT DEPARTURES,CE,CONDITIONS OF ENTITLEMENT,1,,,,84,Tribunal Judge,
025CE,25,CHILD SUPPORT DEPARTURES,CE,CONDITIONS OF ENTITLEMENT,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
025CP,25,CHILD SUPPORT DEPARTURES,CP,CIVIL PENALTIES,1,,,,84,Tribunal Judge,
025CP,25,CHILD SUPPORT DEPARTURES,CP,CIVIL PENALTIES,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
025DD,25,CHILD SUPPORT DEPARTURES,DD,APPEAL DIRECTLY LODGED,1,,,,84,Tribunal Judge,
025DD,25,CHILD SUPPORT DEPARTURES,DD,APPEAL DIRECTLY LODGED,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
025EC,25,CHILD SUPPORT DEPARTURES,EC,ECHR,1,,,,84,Tribunal Judge,
025EC,25,CHILD SUPPORT DEPARTURES,EC,ECHR,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
025EX,25,CHILD SUPPORT DEPARTURES,EX,EX LEGISLATION,1,,,,84,Tribunal Judge,
025EX,25,CHILD SUPPORT DEPARTURES,EX,EX LEGISLATION,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
025GC,25,CHILD SUPPORT DEPARTURES,GC,GOOD CAUSE,1,,,,84,Tribunal Judge,
025GC,25,CHILD SUPPORT DEPARTURES,GC,GOOD CAUSE,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
025LE,25,CHILD SUPPORT DEPARTURES,LE,LATE (EXTENDING BACK),1,,,,84,Tribunal Judge,
025LE,25,CHILD SUPPORT DEPARTURES,LE,LATE (EXTENDING BACK),2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
025OC,25,CHILD SUPPORT DEPARTURES,OC,OVERPAYMENT - CAPITAL,1,,,,84,Tribunal Judge,
025OC,25,CHILD SUPPORT DEPARTURES,OC,OVERPAYMENT - CAPITAL,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
025ON,25,CHILD SUPPORT DEPARTURES,ON,ONE PROJECT,1,,,,84,Tribunal Judge,
025ON,25,CHILD SUPPORT DEPARTURES,ON,ONE PROJECT,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
025OS,25,CHILD SUPPORT DEPARTURES,OS,OVERPAYMENT - STRAIGHTFORWARD,1,,,,84,Tribunal Judge,
025OS,25,CHILD SUPPORT DEPARTURES,OS,OVERPAYMENT - STRAIGHTFORWARD,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
025OX,25,CHILD SUPPORT DEPARTURES,OX,OVERPAYMENT - COMPLEX,1,,,,84,Tribunal Judge,
025OX,25,CHILD SUPPORT DEPARTURES,OX,OVERPAYMENT - COMPLEX,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
025PC,25,CHILD SUPPORT DEPARTURES,PC,PROPERTY/CAPITAL SETTLEMENT,1,,,,84,Tribunal Judge,
025PC,25,CHILD SUPPORT DEPARTURES,PC,PROPERTY/CAPITAL SETTLEMENT,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
025RA,25,CHILD SUPPORT DEPARTURES,RA,RATE OF ASSESSMENT/PAYABILITY ISSUES,1,,,,84,Tribunal Judge,
025RA,25,CHILD SUPPORT DEPARTURES,RA,RATE OF ASSESSMENT/PAYABILITY ISSUES,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
025RB,25,CHILD SUPPORT DEPARTURES,RB,REDUCED BENEFIT DIRECTION,1,,,,84,Tribunal Judge,
025RB,25,CHILD SUPPORT DEPARTURES,RB,REDUCED BENEFIT DIRECTION,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
025RC,25,CHILD SUPPORT DEPARTURES,RC,RATE OF ASSESSMENT/PAYABILITY ISSUES - COMPLEX,1,,,,84,Tribunal Judge,
025RC,25,CHILD SUPPORT DEPARTURES,RC,RATE OF ASSESSMENT/PAYABILITY ISSUES - COMPLEX,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
025SS,25,CHILD SUPPORT DEPARTURES,SS,SELF EMPLOYED - STRAIGHTFORWARD,1,,,,84,Tribunal Judge,
025SS,25,CHILD SUPPORT DEPARTURES,SS,SELF EMPLOYED - STRAIGHTFORWARD,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
025SX,25,CHILD SUPPORT DEPARTURES,SX,SELF EMPLOYED - COMPLEX,1,,,,84,Tribunal Judge,
025SX,25,CHILD SUPPORT DEPARTURES,SX,SELF EMPLOYED - COMPLEX,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
026AA,26,CHILD SUPPORT VARIATION REFERRAL,AA,INVALID,N/A,,,,,,
026CC,26,CHILD SUPPORT VARIATION REFERRAL,CC,CONDITIONS OF ENTITLEMENT - COMPLEX,1,,,,84,Tribunal Judge,
026CC,26,CHILD SUPPORT VARIATION REFERRAL,CC,CONDITIONS OF ENTITLEMENT - COMPLEX,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
026CE,26,CHILD SUPPORT VARIATION REFERRAL,CE,CONDITIONS OF ENTITLEMENT,1,,,,84,Tribunal Judge,
026CE,26,CHILD SUPPORT VARIATION REFERRAL,CE,CONDITIONS OF ENTITLEMENT,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
026CP,26,CHILD SUPPORT VARIATION REFERRAL,CP,CIVIL PENALTIES,1,,,,84,Tribunal Judge,
026CP,26,CHILD SUPPORT VARIATION REFERRAL,CP,CIVIL PENALTIES,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
026DD,26,CHILD SUPPORT VARIATION REFERRAL,DD,APPEAL DIRECTLY LODGED,1,,,,84,Tribunal Judge,
026DD,26,CHILD SUPPORT VARIATION REFERRAL,DD,APPEAL DIRECTLY LODGED,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
026EC,26,CHILD SUPPORT VARIATION REFERRAL,EC,ECHR,1,,,,84,Tribunal Judge,
026EC,26,CHILD SUPPORT VARIATION REFERRAL,EC,ECHR,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
026EX,26,CHILD SUPPORT VARIATION REFERRAL,EX,EX LEGISLATION,1,,,,84,Tribunal Judge,
026EX,26,CHILD SUPPORT VARIATION REFERRAL,EX,EX LEGISLATION,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
026GC,26,CHILD SUPPORT VARIATION REFERRAL,GC,GOOD CAUSE,1,,,,84,Tribunal Judge,
026GC,26,CHILD SUPPORT VARIATION REFERRAL,GC,GOOD CAUSE,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
026LE,26,CHILD SUPPORT VARIATION REFERRAL,LE,LATE (EXTENDING BACK),1,,,,84,Tribunal Judge,
026LE,26,CHILD SUPPORT VARIATION REFERRAL,LE,LATE (EXTENDING BACK),2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
026OC,26,CHILD SUPPORT VARIATION REFERRAL,OC,OVERPAYMENT - CAPITAL,1,,,,84,Tribunal Judge,
026OC,26,CHILD SUPPORT VARIATION REFERRAL,OC,OVERPAYMENT - CAPITAL,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
026ON,26,CHILD SUPPORT VARIATION REFERRAL,ON,ONE PROJECT,1,,,,84,Tribunal Judge,
026ON,26,CHILD SUPPORT VARIATION REFERRAL,ON,ONE PROJECT,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
026OS,26,CHILD SUPPORT VARIATION REFERRAL,OS,OVERPAYMENT - STRAIGHTFORWARD,1,,,,84,Tribunal Judge,
026OS,26,CHILD SUPPORT VARIATION REFERRAL,OS,OVERPAYMENT - STRAIGHTFORWARD,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
026OX,26,CHILD SUPPORT VARIATION REFERRAL,OX,OVERPAYMENT - COMPLEX,1,,,,84,Tribunal Judge,
026OX,26,CHILD SUPPORT VARIATION REFERRAL,OX,OVERPAYMENT - COMPLEX,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
026PC,26,CHILD SUPPORT VARIATION REFERRAL,PC,PROPERTY/CAPITAL SETTLEMENT,1,,,,84,Tribunal Judge,
026PC,26,CHILD SUPPORT VARIATION REFERRAL,PC,PROPERTY/CAPITAL SETTLEMENT,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
026RA,26,CHILD SUPPORT VARIATION REFERRAL,RA,RATE OF ASSESSMENT/PAYABILITY ISSUES,1,,,,84,Tribunal Judge,
026RA,26,CHILD SUPPORT VARIATION REFERRAL,RA,RATE OF ASSESSMENT/PAYABILITY ISSUES,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
026RB,26,CHILD SUPPORT VARIATION REFERRAL,RB,REDUCED BENEFIT DIRECTION,1,,,,84,Tribunal Judge,
026RB,26,CHILD SUPPORT VARIATION REFERRAL,RB,REDUCED BENEFIT DIRECTION,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
